AAAS 	NM_015665
TMEM33 	NM_018126
TMEM39A 	NM_018266
TMEM41A 	NM_080652
TMEM41B 	NM_015012
TMEM42 	NM_144638
TMEM5 	NM_014254
TMEM50A 	NM_014313
TMEM50B 	NM_006134
TMEM55B 	NM_144568
TMEM57 	NM_018202
TMEM59 	NM_004872
TMEM60 	NM_032936
TMEM62 	NM_024956
TMEM63B 	NM_018426
TMEM64 	NM_001008495
TMEM66 	NM_016127
TMEM69 	NM_016486
TMEM70 	NM_017866
TMEM81 	NM_203376
TMEM87A 	NM_001110503
TMEM9 	NM_016456
TMEM9B 	NM_020644
TMF1 	NM_007114
TMLHE 	NM_018196
TMPO 	NM_001032284
TMUB1 	NM_031434
TMUB2 	NM_024107
TMX1 	NM_030755
TMX2 	NM_015959
TMX4 	NM_021156
TNFAIP1 	NM_021137
TNFAIP8L2-SCNM1 	NM_001204848
TNIP1 	NM_006058
TNKS2 	NM_025235
TNPO1 	NM_002270
TNPO3 	NM_012470
TNRC6A 	NM_014494
TOB1 	NM_005749
TOLLIP 	NM_019009
TOMM20 	NM_014765
TOMM22 	NM_020243
TOMM40 	NM_006114
TOMM5 	NM_001001790
TOMM6 	NM_001134493
TOMM7 	NM_019059
TOMM70A 	NM_014820
TOP1 	NM_003286
TOP2B 	NM_001068
TOPORS 	NM_005802
TOR1A 	NM_000113
TOR1AIP2 	NM_022347
TOR1B 	NM_014506
TOR3A 	NM_022371
TOX4 	NM_014828
TP53RK 	NM_033550
TPCN1 	NM_017901
TPD52L2 	NM_003288
TPGS1 	NM_033513
TPI1 	NM_000365
TPP2 	NM_003291
TPRA1 	NM_001136053
TPRG1L 	NM_182752
TPRKB 	NM_016058
TPRN 	NM_001128228
TPST2 	NM_003595
TRA2A 	NM_013293
TRA2B 	NM_004593
TRAF6 	NM_004620
TRAF7 	NM_032271
TRAP1 	NM_001272049
TRAPPC1 	NM_021210
TRAPPC10 	NM_003274
TRAPPC11 	NM_021942
TRAPPC12 	NM_016030
TRAPPC13 	NM_024941
TRAPPC2L 	NM_016209
TRAPPC3 	NM_014408
TRAPPC4 	NM_016146
TRAPPC5 	NM_174894
TRAPPC6B 	NM_177452
TRAPPC8 	NM_014939
TRAPPC9 	NM_031466
TRIAP1 	NM_016399
TRIM26 	NM_003449
TRIM27 	NM_006510
TRIM28 	NM_005762
TRIM3 	NM_006458
TRIM39 	NM_021253
TRIM39-RPP21 	NM_001199119
TRIM41 	NM_033549
TRIM44 	NM_017583
TRIM56 	NM_030961
TRIM65 	NM_173547
TRIM8 	NM_030912
TRIP12 	NM_004238
TRIP4 	NM_016213
TRMT1 	NM_017722
TRMT10C 	NM_017819
TRMT112 	NM_016404
TRMT12 	NM_017956
TRMT1L 	NM_030934
TRMT2A 	NM_022727
TRNAU1AP 	NM_017846
TRNT1 	NM_182916
TRPC4AP 	NM_015638
TRPT1 	NM_031472
TRUB2 	NM_015679
TSC2 	NM_000548
TSEN15 	NM_052965
TSEN34 	NM_024075
TSFM 	NM_005726
TSG101 	NM_006292
TSN 	NM_004622
TSNAX 	NM_005999
TSPAN17 	NM_012171
TSPAN31 	NM_005981
TSPYL1 	NM_003309
TSR1 	NM_018128
TSR2 	NM_058163
TSR3 	NM_001001410
TSSC4 	NM_005706
TSTA3 	NM_003313
TSTD2 	NM_139246
TTC1 	NM_003314
TTC17 	NM_018259
TTC19 	NM_001271420
TTC32 	NM_001008237
TTC33 	NM_012382
TTC37 	NM_014639
TTC4 	NM_004623
TTC7B 	NM_001010854
TTC9C 	NM_173810
TTI1 	NM_014657
TTI2 	NM_025115
TUBA1B 	NM_006082
TUBA1C 	NM_032704
TUBB 	NM_178014
TUBD1 	NM_001193612
TUBGCP2 	NM_006659
TUBGCP4 	NM_014444
TUFM 	NM_003321
TUSC2 	NM_007275
TUT1 	NM_022830
TVP23B 	NM_016078
TXLNA 	NM_175852
TXLNG 	NM_018360
TXN2 	NM_012473
TXNDC11 	NM_015914
TXNDC12 	NM_015913
TXNDC15 	NM_024715
TXNDC17 	NM_032731
TXNDC9 	NM_005783
TXNL1 	NM_004786
TXNL4A 	NM_006701
TXNL4B 	NM_017853
TXNRD1 	NM_003330
TYK2 	NM_003331
TYW1 	NM_018264
U2AF1 	NM_006758
U2AF1L4 	NM_144987
U2AF2 	NM_007279
UAP1 	NM_003115
UBA1 	NM_003334
UBA2 	NM_005499
UBA3 	NM_003968
UBA5 	NM_024818
UBA52 	NM_003333
UBAC2 	NM_177967
UBALD1 	NM_145253
UBAP1 	NM_016525
UBAP2L 	NM_014847
UBB 	NM_018955
UBC 	NM_021009
UBE2A 	NM_003336
UBE2B 	NM_003337
UBE2D2 	NM_003339
UBE2D3 	NM_003340
UBE2D4 	NM_015983
UBE2E1 	NM_003341
UBE2E2 	NM_152653
UBE2E3 	NM_006357
UBE2F 	NM_080678
UBE2G2 	NM_003343
UBE2H 	NM_003344
UBE2I 	NM_003345
UBE2J1 	NM_016021
UBE2J2 	NM_058167
UBE2K 	NM_005339
UBE2L3 	NM_003347
UBE2M 	NM_003969
UBE2N 	NM_003348
UBE2NL 	NM_001012989
UBE2Q1 	NM_017582
UBE2R2 	NM_017811
UBE2V1 	NM_021988
UBE2V2 	NM_003350
UBE2W 	NM_018299
UBE2Z 	NM_023079
UBE3A 	NM_000462
UBE3B 	NM_130466
UBE3C 	NM_014671
UBE4A 	NM_004788
UBE4B 	NM_006048
UBFD1 	NM_019116
UBIAD1 	NM_013319
UBL3 	NM_007106
UBL4A 	NM_014235
UBL5 	NM_024292
UBL7 	NM_032907
UBOX5 	NM_014948
UBP1 	NM_014517
UBQLN1 	NM_013438
UBQLN2 	NM_013444
UBQLN4 	NM_020131
UBR2 	NM_015255
UBR7 	NM_175748
UBTD1 	NM_024954
UBTF 	NM_014233
UBXN2A 	NM_181713
UBXN4 	NM_014607
UBXN6 	NM_025241
UCHL3 	NM_006002
UCHL5 	NM_015984
UCK1 	NM_031432
UCK2 	NM_012474
UCKL1 	NM_017859
UEVLD 	NM_001040697
UFC1 	NM_016406
UFD1L 	NM_005659
UFL1 	NM_015323
UFSP2 	NM_018359
UGP2 	NM_006759
UHRF1BP1L 	NM_015054
ULK1 	NM_003565
ULK3 	NM_001099436
UNC50 	NM_014044
UNG 	NM_003362
UPF1 	NM_002911
UPF2 	NM_015542
UPF3B 	NM_023010
UPRT 	NM_145052
UQCC 	NM_018244
UQCR10 	NM_013387
UQCR11 	NM_006830
UQCRB 	NM_006294
UQCRC1 	NM_003365
UQCRC2 	NM_003366
UQCRHL 	NM_001089591
UQCRQ 	NM_014402
URGCP 	NM_001077664
URI1 	NM_003796
URM1 	NM_030914
UROD 	NM_000374
UROS 	NM_000375
USB1 	NM_024598
USE1 	NM_018467
USF1 	NM_207005
USF2 	NM_003367
USP10 	NM_005153
USP14 	NM_005151
USP16 	NM_006447
USP19 	NM_006677
USP22 	NM_015276
USP25 	NM_013396
USP27X 	NM_001145073
USP33 	NM_015017
USP38 	NM_032557
USP39 	NM_006590
USP4 	NM_003363
USP47 	NM_017944
USP5 	NM_003481
USP7 	NM_003470
USP8 	NM_005154
USP9X 	NM_001039590
UTP11L 	NM_016037
UTP14A 	NM_006649
UTP14C 	NM_021645
UTP15 	NM_032175
UTP23 	NM_032334
UTP3 	NM_020368
UTP6 	NM_018428
UXS1 	NM_025076
UXT 	NM_004182
VAC14 	NM_018052
VAMP3 	NM_004781
VAMP5 	NM_006634
VAPA 	NM_003574
VAPB 	NM_004738
VARS2 	NM_020442
VBP1 	NM_003372
VCP 	NM_007126
VDAC3 	NM_005662
VEZT 	NM_017599
VIMP 	NM_018445
VMA21 	NM_001017980
VPS16 	NM_022575
VPS18 	NM_020857
VPS25 	NM_032353
VPS26A 	NM_004896
VPS26B 	NM_052875
VPS28 	NM_016208
VPS29 	NM_016226
VPS33A 	NM_022916
VPS36 	NM_016075
VPS37A 	NM_152415
VPS4A 	NM_013245
VPS51 	NM_013265
VPS52 	NM_022553
VPS53 	NM_018289
VPS72 	NM_005997
VRK2 	NM_006296
VRK3 	NM_016440
VTA1 	NM_016485
VTI1A 	NM_145206
VTI1B 	NM_006370
WAC 	NM_016628
WAPAL 	NM_015045
WARS2 	NM_015836
WBP11 	NM_016312
WBP1L 	NM_017787
WBP2 	NM_012478
WBP4 	NM_007187
WBSCR22 	NM_017528
WDR1 	NM_005112
WDR12 	NM_018256
WDR13 	NM_017883
WDR18 	NM_024100
WDR20 	NM_144574
WDR24 	NM_032259
WDR25 	NM_024515
WDR26 	NM_025160
WDR3 	NM_006784
WDR33 	NM_018383
WDR36 	NM_139281
WDR41 	NM_018268
WDR43 	NM_015131
WDR44 	NM_019045
WDR45 	NM_007075
WDR45B 	NM_019613
WDR46 	NM_005452
WDR55 	NM_017706
WDR59 	NM_030581
WDR5B 	NM_019069
WDR6 	NM_018031
WDR61 	NM_025234
WDR70 	NM_018034
WDR73 	NM_032856
WDR74 	NM_018093
WDR75 	NM_032168
WDR77 	NM_024102
WDR81 	NM_152348
WDR83OS 	NM_016145
WDR85 	NM_138778
WDR89 	NM_080666
WDTC1 	NM_015023
WIBG 	NM_032345
WIPI2 	NM_015610
WIZ 	NM_021241
WRAP53 	NM_018081
WRB 	NM_004627
WRNIP1 	NM_020135
WSB2 	NM_018639
WTAP 	NM_004906
WTH3DI 	NM_001077637
WWP1 	NM_007013
WWP2 	NM_007014
XIAP 	NM_001167
XPA 	NM_000380
XPC 	NM_001145769
XPNPEP1 	NM_020383
XPO1 	NM_003400
XPO7 	NM_015024
XPOT 	NM_007235
XRCC5 	NM_021141
XRCC6 	NM_001469
XYLT2 	NM_022167
YAF2 	NM_005748
YARS 	NM_003680
YARS2 	NM_001040436
YIF1A 	NM_020470
YIF1B 	NM_033557
YIPF1 	NM_018982
YIPF3 	NM_015388
YIPF4 	NM_032312
YIPF5 	NM_030799
YIPF6 	NM_173834
YKT6 	NM_006555
YME1L1 	NM_014263
YPEL2 	NM_001005404
YRDC 	NM_024640
YTHDC1 	NM_133370
YTHDF1 	NM_017798
YTHDF2 	NM_016258
YTHDF3 	NM_152758
YWHAB 	NM_003404
YWHAE 	NM_006761
YY1 	NM_003403
YY1AP1 	NM_018253
ZADH2 	NM_175907
ZBED4 	NM_014838
ZBED6 	NM_001174108
ZBTB1 	NM_014950
ZBTB10 	NM_023929
ZBTB11 	NM_014415
ZBTB14 	NM_003409
ZBTB17 	NM_003443
ZBTB18 	NM_006352
ZBTB21 	NM_020727
ZBTB25 	NM_006977
ZBTB33 	NM_006777
ZBTB39 	NM_014830
ZBTB44 	NM_014155
ZBTB45 	NM_032792
ZBTB5 	NM_014872
ZBTB6 	NM_006626
ZBTB7A 	NM_015898
ZBTB8OS 	NM_178547
ZC3H10 	NM_032786
ZC3H11A 	NM_014827
ZC3H13 	NM_015070
ZC3H15 	NM_018471
ZC3H18 	NM_144604
ZC3H3 	NM_015117
ZC3H7A 	NM_014153
ZC3H7B 	NM_017590
ZCCHC10 	NM_017665
ZCCHC11 	NM_015269
ZCCHC3 	NM_033089
ZCCHC7 	NM_032226
ZCCHC9 	NM_032280
ZCRB1 	NM_033114
ZDHHC14 	NM_024630
ZDHHC16 	NM_198044
ZDHHC2 	NM_016353
ZDHHC3 	NM_016598
ZDHHC4 	NM_018106
ZDHHC5 	NM_015457
ZDHHC8 	NM_013373
ZFAND1 	NM_024699
ZFAND2B 	NM_138802
ZFAND3 	NM_021943
ZFAND5 	NM_006007
ZFAND6 	NM_019006
ZFP91 	NM_053023
ZFPL1 	NM_006782
ZFR 	NM_016107
ZFYVE1 	NM_021260
ZFYVE19 	NM_032850
ZFYVE27 	NM_144588
ZGPAT 	NM_032527
ZHX1 	NM_007222
ZHX1-C8ORF76 	NM_001204180
ZHX2 	NM_014943
ZHX3 	NM_015035
ZKSCAN1 	NM_003439
ZMAT2 	NM_144723
ZMAT3 	NM_022470
ZMAT5 	NM_019103
ZMPSTE24 	NM_005857
ZMYM2 	NM_003453
ZMYND11 	NM_006624
ZNF121 	NM_001008727
ZNF131 	NM_003432
ZNF134 	NM_003435
ZNF138 	NM_001271649
ZNF142 	NM_001105537
ZNF143 	NM_003442
ZNF146 	NM_007145
ZNF174 	NM_003450
ZNF181 	NM_001029997
ZNF189 	NM_197977
ZNF195 	NM_007152
ZNF197 	NM_006991
ZNF207 	NM_003457
ZNF22 	NM_006963
ZNF226 	NM_015919
ZNF232 	NM_014519
ZNF24 	NM_006965
ZNF259 	NM_003904
ZNF274 	NM_016324
ZNF277 	NM_021994
ZNF280D 	NM_017661
ZNF281 	NM_012482
ZNF3 	NM_017715
ZNF32 	NM_006973
ZNF322 	NM_024639
ZNF326 	NM_182976
ZNF330 	NM_014487
ZNF335 	NM_022095
ZNF33A 	NM_006954
ZNF343 	NM_024325
ZNF347 	NM_032584
ZNF37A 	NM_003421
ZNF384 	NM_133476
ZNF394 	NM_032164
ZNF397 	NM_001135178
ZNF398 	NM_020781
ZNF408 	NM_024741
ZNF41 	NM_007130
ZNF410 	NM_021188
ZNF414 	NM_032370
ZNF419 	NM_024691
ZNF438 	NM_182755
ZNF444 	NM_018337
ZNF446 	NM_017908
ZNF48 	NM_152652
ZNF480 	NM_144684
ZNF491 	NM_152356
ZNF506 	NM_001099269
ZNF507 	NM_014910
ZNF513 	NM_001201459
ZNF518A 	NM_014803
ZNF526 	NM_133444
ZNF561 	NM_152289
ZNF574 	NM_022752
ZNF576 	NM_024327
ZNF579 	NM_152600
ZNF580 	NM_016202
ZNF592 	NM_014630
ZNF593 	NM_015871
ZNF598 	NM_178167
ZNF620 	NM_001256167
ZNF622 	NM_033414
ZNF623 	NM_014789
ZNF638 	NM_014497
ZNF639 	NM_016331
ZNF641 	NM_152320
ZNF644 	NM_016620
ZNF649 	NM_023074
ZNF654 	NM_018293
ZNF655 	NM_138494
ZNF664 	NM_152437
ZNF668 	NM_024706
ZNF672 	NM_024836
ZNF687 	NM_020832
ZNF688 	NM_145271
ZNF691 	NM_015911
ZNF7 	NM_003416
ZNF706 	NM_016096
ZNF721 	NM_133474
ZNF740 	NM_001004304
ZNF76 	NM_003427
ZNF764 	NM_033410
ZNF770 	NM_014106
ZNF777 	NM_015694
ZNF787 	NM_001002836
ZNF805 	NM_001145078
ZNF814 	NM_001144989
ZNF830 	NM_052857
ZNF865 	NM_001195605
ZNF91 	NM_003430
ZNHIT1 	NM_006349
ZNHIT3 	NM_004773
ZNRD1 	NM_014596
ZRANB1 	NM_017580
ZRANB2 	NM_005455
ZSCAN21 	NM_145914
ZSCAN29 	NM_152455
ZSCAN32 	NM_017810
ZSWIM1 	NM_080603
ZSWIM7 	NM_001042697
ZSWIM8 	NM_015037
ZW10 	NM_004724
ZXDA 	NM_007156
ZXDB 	NM_007157
ZZZ3 	NM_015534
